MFCC Mean,Spectral Centroid,Tempo (BPM)
-72.4306,3676.0825,129.19922
-72.4306,3676.0825,129.19922
-73.07414,3445.606,107.666016
-73.07414,3445.606,107.666016
-75.68419,3208.9858,161.49902
-75.68419,3208.9858,161.49902
-64.84971,444.14215,0.0
-64.84971,444.14215,0.0
18.292545,4990.2266,112.347145
18.663033,4987.481,151.99908
-64.84971,444.14215,0.0
18.221022,4998.4272,143.55469
-226.27417,0.0,0.0
18.093285,5005.9917,143.55469
-88.7086,4197.493,129.19922
-88.7086,4197.493,129.19922
-95.5815,4570.439,66.25601
-95.5815,4570.439,66.25601
-84.97778,4154.251,117.453835
-84.97778,4154.251,117.453835
-84.31329,4268.4023,92.28516
-87.073395,4381.677,151.99908
-81.161415,4059.6616,184.57031
-81.2201,4159.237,107.666016
-87.7321,4318.2896,75.99954
-87.7321,4318.2896,75.99954
-94.13149,4698.1587,78.30256
-85.54162,4107.029,117.453835
-85.54162,4107.029,117.453835
-93.568634,4656.247,258.39844
-87.63131,4123.281,198.76804
-87.63131,4123.281,198.76804
-94.46998,4614.249,135.99918
-87.83156,3955.6821,78.30256
-87.83156,3955.6821,78.30256
-84.948395,4071.1443,129.19922
-84.948395,4071.1443,129.19922
-87.49878,3129.839,112.347145
-85.24975,2858.4187,103.359375
-85.40138,2988.738,143.55469
-85.59083,2871.4429,103.359375
-83.35944,2926.1196,129.19922
-83.35944,2926.1196,129.19922
-83.30476,2881.58,135.99918
18.318375,4992.736,135.99918
-226.27417,0.0,0.0
18.535437,4987.4385,123.046875
-86.667885,4433.9653,129.19922
-86.667885,4433.9653,129.19922
-84.713905,4307.6675,143.55469
-90.63977,4395.982,99.38402
-90.63977,4395.982,99.38402
-95.23708,4542.715,107.666016
-93.894,4571.527,234.90767
